Brooklyn Black Chocolate Stout
Birra Moretti
Maharaja
Allagash Black - Bourbon Barrel Aged
Lone Star Light
Samuel Adams Honey Porter
Samuel Adams Black Lager
Peeper Ale
Pamola Xtra Pale Ale
Ayinger Celebrator Doppelbock
Obsidian Stout
Hacker-Pschorr Oktoberfest-Märzen
Old Rasputin Russian Imperial Stout
Trappistes Rochefort 10
Duvel
J.W. Lees Vintage Harvest Ale
Guinness Foreign Extra Stout
Samichlaus Bier
Weihenstephaner Korbinian
Samuel Smith's Imperial Stout
De Dolle Stille Nacht
Trappist Westvleteren 8
Adam
Moonglow Weizenbock
Old Horizontal
Storm King Stout
Lion Stout
Stone Imperial Russian Stout
EKU 28
Der Weisse Bock
Bell's Expedition Stout
Trappist Westvleteren 12
Saison Dupont
Out Of Bounds Stout
Zywiec Porter
Schneider Aventinus Weizen-Eisbock
90 Minute IPA
World Wide Stout
Sierra Nevada Bigfoot Barleywine Style Ale
Bell's Consecrator Doppelbock
Andechser Doppelbock Dunkel
Piton Lager Beer
Cadillac Mountain Stout
Weltenburger Kloster Asam-Bock
AleSmith Speedway Stout
Dark Horse Reserve Special Black Bier Ale
AleSmith IPA
Pliny The Elder
120 Minute IPA
Péché Mortel (Imperial Stout Au Cafe)
Bourbon County Brand Stout
Kulmbacher Reichelbrau Eisbock
Founders Breakfast Stout
Damnation
Thomas Hooker Liberator Doppelbock
Heady Topper
Allagash Curieux (Bourbon Barrel-Aged Tripel)
Bell's Hopslam Ale
Oak Aged Yeti Imperial Stout
Great Lakes Glockenspiel Weizenbock
Smuttynose S'muttonator (Big Beer Series)
Founders Imperial Stout
Dark Horse Double Crooked Tree IPA
Gonzo Imperial Porter
Samael's Ale
Ettaler Curator Doppelbock (US Import Version)
Beer Geek Breakfast
Double Simcoe IPA
Red Barn Ale
Wipeout I.P.A.
Founders Double Trouble
Aardmonnik - Earthmonk
Pannepot Reserva
Ten FIDY
Weihenstephaner Vitus
Hop Stoopid
Old Stock Cellar Reserve (Aged In Bourbon Barrels)
Black Albert
Red Poppy Ale
Chocolate Indulgence Stout
Smuttynose Baltic Porter (Big Beer Series)
Hr. Frederiksen
Parabola
Stone 12th Anniversary Bitter Chocolate Oatmeal Stout
Triple Bock
Mother Of All Storms
Iniquity (Imperial Black Ale)
Coffee Stout (Brewmaster Series)
Night Stalker
Chaos Chaos Imperial Stout
Old No. 55
Black Damnation
Double IPA (Brewmaster Series)
Big Twitch
A Little Sumpin' Sumpin' Ale
Pemaquid Oyster Stout
Imperial Porter (Brewmaster Series)
Epic Armageddon
White Birch Holiday Ale 2009
Zoe
Bourbon Barrel Aged Lake Trout Stout
GUBNA Imperial IPA
Black Damnation II - Mocha Bomb
Bell's Batch 9000
Founders Nemesis 2009
Black Damnation III - Black Mes
D.O.R.I.S. The Destroyer Double Imperial Stout
Trapp Vienna Lager
Abner Imperial IPA
Nelson Sauvignon (Nelson Sauvin Brut)
Labyrinth Black Ale
Hill Farmstead Citra IPA
Black (黑) (Islay Edition)
Everett Robust Porter
Phil Brown
Otter Creek (Alpine) Black IPA
Ephraim
Jim
Fear And Trembling (Cabernet/Bourbon Blend)
Borefts Bock 2010
Twilight Of The Idols
Emelisse Imperial Doppelbock
Firestone 14 - Anniversary Ale
Holger Danske
Great Lakes The Doppelrock
Bourbon Barrel Aged Cant Dog
White Birch Hooksett Ale
Outblack
Jaded (Import Series Vol. #3)
Galaxy Imperial Single Hop IPA
Fantôme Magic Ghost
White Birch Apprentice Series Nyx
Lunch
Hill Farmstead Double Citra IPA
Throwback Campfire Smoked Porter
Bitter Monk
White Birch Birchwood Smoked Stout
Lagunitas Sucks Holiday Ale
Stone Smoked Porter
Ayinger Bräu Weisse
Ayinger Ur-Weisse
Anchor Liberty Ale
Weihenstephaner Hefeweissbier Dunkel
Baltika #8 Wheat
Stone Cali-Belgique
Maudite
Allagash Grand Cru
Stone IPA (India Pale Ale)
Piraat Ale
XS Imperial India Pale Ale
Paulaner Oktoberfest-Märzen
Don de Dieu
Raison D'etre
Maximus
Stoudts American Pale Ale
Augustijn Ale
Sierra Nevada Celebration Ale
Chimay Grande Réserve (Blue)
Highland Gaelic Ale
ApriHop
Stone Ruination IPA
8 Ball Stout
Northern Hemisphere Harvest Wet Hop Ale
G'Knight Imperial Red Ale
Lagunitas Sirius Ale
"Smuttynose IPA ""Finest Kind"""
Dogtoberfest
Terrapin Big Hoppy Monster
Thomas Hooker Hop Meadow IPA
Terrapin Rye Squared
Allagash Interlude
Double Dog Double Pale Ale
Terrapin Hop Karma IPA
Sweetwater Road Trip Ale
Sierra Nevada Anniversary Ale (2007-2009)
Schneider-Brooklyner Hopfen-Weisse
Kill Ugly Radio
Samuel Adams Hallertau Imperial Pilsner
Our Special Ale 2007 (Anchor Christmas Ale)
Coney Island Freaktoberfest
Ruedrich's Red Seal Ale
Railbender Ale
Spezial Rauchbier Lager
The Red MacGregor
Presque Isle Pilsner
Pure Hoppiness
Trappist Achel 8° Bruin
Baird Angry Boy Brown Ale
Mountain High IPA
Buffalo Belgian Stout
Ommegeddon
White Christmas Belgian Style Wit
De Proef Reserve Signature Ale (w/ Tomme Arthur)
Black (黑)
Disputin - Russian Imperial Stout
Avery Anniversary Ale - Fifteen
Seven Swabians Eisbock
Black Butte XX
Innstadt Doppelbock Extra
Cascade The Vine
Drie Fonteinen Oude Kriek
Reserve Wheat Ale
Lips Of Faith - Kick
Full Sail Amber
Imperial Stout
Fred
Tetley's English Ale
Big Eye IPA
"Carnegie Porter 5,5%"
Schneider Wiesen Edel-Weisse Mein Grunes
Double Bastard Ale
Santa's Private Reserve Ale
Anchor Old Foghorn
Hog Heaven Barley Wine
Olde GnarlyWine
Big Bear Black Stout
St. Bernardus Prior 8
Old Stock Ale
Hitachino Nest White Ale
Marin India Pale Ale
San Quentin Breakout Stout
Maredsous 10 - Triple
Horn Dog Barley Wine Style Ale
Marin Star Brew-Triple Wheat Ale
Old Dipsea Barleywine Style Ale
Gale's Prize Old Ale
Kilt Lifter Scotch Ale
Blue Bell Bitter
Sweetgrass APA
Bacchus
Olde School Barleywine
Goudale
The Czar
W'11 (KGB Imperial Stout)
Titan IPA
Raven's Eye Imperial Stout
10 Squared Fish Tale Ale
The Beast Grand Cru
De Dolle Extra Export Stout
Drake's Port Barrel Imperial Stout
Hercules Double IPA
Brother David's Triple Abbey Style Ale
Hop Juice Double IPA
Burton Baton
Fuller's Vintage Ale
Lump Of Coal
Old Ruffian Barley Wine
Oppigårds Winter Ale
Supplication
Drake's Denogginizer
Blue Dot Double India Pale Ale
# 100
Lips Of Faith - Le Terroir
Mephistopheles' Stout
Sculpin India Pale Ale
Sierra Nevada Torpedo Extra IPA
Dead Leaf Green
Old Viscosity
The Angel's Share - Bourbon Barrel-Aged
Total Domination IPA
High Tide Fresh Hop IPA
Barleywine Style Ale
Kosacken
Older Viscosity
The Abyss
Old Rasputin X Anniversary Barrel Aged Stout
Collaboration Not Litigation Ale
Green Flash Hop Head Red Ale
Alaskan Barley Wine (Pilot Series)
Allagash Hugh Malone
Believer
½ Idjit!
Hitachino Nest Espresso Stout
Oatis
Big Worse
Stone Old Guardian Barley Wine Style Ale 2008
Ola Dubh Special Reserve 30
Special Edition - Bock Beer
BrewDog Paradox Speyside (Batch 005) - Glen Moray 1992
Sierra Nevada Southern Hemisphere Harvest Fresh Hop Ale
Espresso Oak Aged Yeti Imperial Stout
We're Only In It For The Money
Professor Fritz Briem 13th Century Grut Bier
The Dissident
"Full Sail ""21"" - Anniversary Doppelbock"
Velvet Merlin (Merkin)
Back In Black
Sea Monster Imperial Stout
Yakima Glory
Drake's Hopocalypse
Sleigh'r Dark Doüble Alt Ale
Lips Of Faith - Dark Kriek
YuleSmith (Winter)
Sless' Oatmeal Stout
Arctic Circle Ale
